Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF/6.3V","C_0402_1005Metric",5.500000,2.100000,180.000000,top
"C2","10uF/6.3V","C_0402_1005Metric",5.500000,3.500000,180.000000,top
"C3","1uF/25V","C_0402_1005Metric",14.100000,2.900000,-90.000000,top
"D1","Red","LED_0603_1608Metric",5.200000,5.800000,180.000000,top
"D2","100V/3A","D_SOD-123F",6.100000,12.100000,180.000000,top
"D3","Blue","LED_0603_1608Metric",49.000000,1.800000,-90.000000,top
"D4","Emerald","LED_0603_1608Metric",49.000000,5.000000,-90.000000,top
"D5","100V/3A","D_SOD-123F",48.100000,11.000000,-90.000000,top
"J2","CAN","PinHeader_1x10_P1.27mm_Vertical",1.500000,1.070000,180.000000,top
"R1","1k","R_0402_1005Metric",47.700000,7.700000,90.000000,top
"R2","10k","R_0402_1005Metric",14.100000,4.900000,90.000000,top
"R3","10k","R_0402_1005Metric",48.800000,7.700000,90.000000,top
"R4","220","R_0402_1005Metric",5.800000,9.800000,-90.000000,top
"R5","1k","R_0402_1005Metric",47.500000,1.200000,90.000000,top
"R6","10k","R_0402_1005Metric",5.800000,8.200000,180.000000,top
"R7","1k","R_0402_1005Metric",5.800000,7.100000,180.000000,top
"S1","TL3340AF160QG","SW_TL3340AF160QG",12.700000,11.250000,180.000000,top
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",28.500000,7.350000,0.000000,top
